cae_num	cae_str	des_pt	des_en	rev
1	1	Agricultura, silvicultura, caça e pesca	Agriculture, forestry, hunting and fishing	1
11	11	Agricultura e caça	Agriculture and hunting	1
111	111	Agricultura e pecuária	Agriculture and livestock production	1
1110	1110	Agricultura e pecuária	Agriculture and livestock production	1
11100	11100	Agricultura e pecuária	Agriculture and livestock production	1
111000	111000	Agricultura e pecuária	Agriculture and livestock production	1
112	112	Serviços relacionados com a agricultura	Agricultural services	1
1120	1120	Serviços relacionados com a agricultura	Agricultural services	1
11200	11200	Serviços relacionados com a agricultura	Agricultural services	1
112000	112000	Serviços relacionados com a agricultura	Agricultural services	1
113	113	Caça, caça com armadilha e repovoamento cinegético	Hunting, trapping and game propagation	1
1130	1130	Caça, caça com armadilha e repovoamento cinegético	Hunting, trapping and game propagation	1
11300	11300	Caça, caça com armadilha e repovoamento cinegético	Hunting, trapping and game propagation	1
113000	113000	Caça, caça com armadilha e repovoamento cinegético	Hunting, trapping and game propagation	1
12	12	Silvicultura e exploração florestal	Forestry and logging	1
121	121	Silvicultura	Forestry	1
1210	1210	Silvicultura	Forestry	1
12100	12100	Silvicultura	Forestry	1
121000	121000	Silvicultura	Forestry	1
122	122	Exploração florestal	Logging	1
1220	1220	Exploração florestal	Logging	1
12200	12200	Exploração florestal	Logging	1
122000	122000	Exploração florestal	Logging	1
13	13	Pesca	Fishing	1
130	130	Pesca	Fishing	1
1301	1301	Pesca marítima	Marine fishing	1
13011	13011	Apanha de algas em águas marítimas	Marine seaweed gathering	1
130110	130110	Apanha de algas em águas marítimas	Marine seaweed gathering	1
13012	13012	Captura de cetáceos	Capture of cetaceans	1
130120	130120	Captura de cetáceos	Capture of cetaceans	1
13013	13013	Pesca de arrasto, excluindo a do bacalhau	Trawl fisheries, excluding codfish	1
130130	130130	Pesca de arrasto, excluindo a do bacalhau	Trawl fisheries, excluding codfish	1
13014	13014	Pesca do bacalhau	Cod fishing	1
130140	130140	Pesca do bacalhau	Cod fishing	1
13015	13015	Pesca da sardinha e de espécies afins	Fishing of sardines and similar species	1
130150	130150	Pesca da sardinha e de espécies afins	Fishing of sardines and similar species	1
13016	13016	Pesca do atum e de espécies afins	Fishing of tuna and similar species	1
130160	130160	Pesca do atum e de espécies afins	Fishing of tuna and similar species	1
13019	13019	Pesca marítima, n.e.	Marine fishing, n.e.c.	1
130190	130190	Pesca marítima, n.e.	Marine fishing, n.e.c.	1
1302	1302	Pesca em águas interiores	Inland waters fishing and fish farming	1
13021	13021	Pesca de espécies ictiológicas em águas interiores	Inland waters fishing 	1
130210	130210	Pesca de espécies ictiológicas em águas interiores	Inland waters fishing 	1
13022	13022	Viveiros de peixes em águas interiores	Inland waters fish farming	1
130220	130220	Viveiros de peixes em águas interiores	Inland waters fish farming	1
13023	13023	Viveiros e depósitos de crustáceos e moluscos em águas interiores	Inland waters crustaceans and molluscs farming	1
130230	130230	Viveiros e depósitos de crustáceos e moluscos em águas interiores	Inland waters crustaceans and molluscs farming	1
13029	13029	Pesca em águas interiores, n.e.	Inland waters fishing, n.e.c.	1
130290	130290	Pesca em águas interiores, n.e.	Inland waters fishing, n.e.c.	1
2	2	Indústrias extractivas	Mining and quarrying	1
21	21	Extracção do carvão	Mining of coal	1
210	210	Extracção do carvão	Mining of coal	1
2100	2100	Extracção do carvão	Mining of coal	1
21001	21001	Extracção de antracito	Mining of anthracite	1
210010	210010	Extracção de antracito	Mining of anthracite	1
21002	21002	Extracção de hulha	Mining of hard coal	1
210020	210020	Extracção de hulha	Mining of hard coal	1
21003	21003	Extracção de lignito	Mining of lignite	1
210030	210030	Extracção de lignito	Mining of lignite	1
21009	21009	Extracção de carvões, n.e.	Mining of coals, n.e.c.	1
210090	210090	Extracção de carvões, n.e.	Mining of coals, n.e.c.	1
22	22	Extracção de petróleo bruto e gás natural	Extraction of crude petroleum and natural gas production	1
220	220	Extracção de petróleo bruto e gás natural	Extraction of crude petroleum and natural gas production	1
2200	2200	Extracção de petróleo bruto e gás natural	Extraction of crude petroleum and natural gas production	1
22000	22000	Extracção de petróleo bruto e gás natural	Extraction of crude petroleum and natural gas production	1
220000	220000	Extracção de petróleo bruto e gás natural	Extraction of crude petroleum and natural gas production	1
23	23	Extracção de minérios metálicos	Mining of metal ores	1
230	230	Extracção de minérios metálicos	Mining of metal ores	1
2301	2301	Extracção de minérios de ferro	Mining of iron ores	1
23010	23010	Extracção de minérios de ferro	Mining of iron ores	1
230100	230100	Extracção de minérios de ferro	Mining of iron ores	1
2302	2302	Extracção de minérios não ferrosos	Mining of non-ferrous ores 	1
23021	23021	Extracção de minérios de alumínio	Mining of aluminium ores 	1
230210	230210	Extracção de minérios de alumínio	Mining of aluminium ores 	1
23022	23022	Extracção de minérios de chumbo e zinco	Mining of lead and zinc ores 	1
230220	230220	Extracção de minérios de chumbo e zinco	Mining of lead and zinc ores 	1
23023	23023	Extracção de minérios de cobre	Mining of copper ores	1
230230	230230	Extracção de minérios de cobre	Mining of copper ores	1
23024	23024	Extracção de minérios de estanho	Mining of tin ores 	1
230240	230240	Extracção de minérios de estanho	Mining of tin ores 	1
23025	23025	Extracção de minérios de manganés	Mining of manganese ores 	1
230250	230250	Extracção de minérios de manganés	Mining of manganese ores 	1
23026	23026	Extracção de minérios de urânio e de outros minérios radioactivos	Mining of uranium and other radioactive ores	1
230260	230260	Extracção de minérios de urânio e de outros minérios radioactivos	Mining of uranium and other radioactive ores	1
23027	23027	Extracção de minérios de volfrâmio	"Mining of tungsten ""wolfram"" ores "	1
230270	230270	Extracção de minérios de volfrâmio	"Mining of tungsten ""wolfram"" ores "	1
23028	23028	Extracção de metais preciosos	Mining of precious metal ores 	1
230280	230280	Extracção de metais preciosos	Mining of precious metal ores 	1
23029	23029	Extracção de outros minérios metálicos não ferrosos	Mining of other non-ferrous metal ores 	1
230290	230290	Extracção de outros minérios metálicos não ferrosos	Mining of other non-ferrous metal ores 	1
29	29	Extracção de minerais não metálicos e rochas industriais	Mining and quarrying of non-metalliferous minerals and industrial stones	1
290	290	Extracção de minerais não metálicos e rochas industriais	Mining and quarrying of non-metalliferous minerals and industrial stones	1
2901	2901	Extracção de pedra, argila e areia	Quarrying of stone, clay and sand 	1
29011	29011	Extracção de ardósia	Quarrying of slate	1
290110	290110	Extracção de ardósia	Quarrying of slate	1
29012	29012	Extracção de areia	Operation of sand pits	1
290120	290120	Extracção de areia	Operation of sand pits	1
29013	29013	Extracção de argila e caulino	Mining of clays and kaolin	1
290130	290130	Extracção de argila e caulino	Mining of clays and kaolin	1
29014	29014	Extracção de calcário e marga	Quarrying of limestone and marl (chalk)	1
290140	290140	Extracção de calcário e marga	Quarrying of limestone and marl (chalk)	1
29015	29015	Extracção de granito e rochas afins	Quarrying of granite and similar stones	1
290150	290150	Extracção de granito e rochas afins	Quarrying of granite and similar stones	1
29016	29016	Extracção de mármore	Quarrying of marble	1
290160	290160	Extracção de mármore	Quarrying of marble	1
29019	29019	Extracção de outras rochas, n.e.	Quarrying  of others stones n.e.c.	1
290190	290190	Extracção de outras rochas, n.e.	Quarrying  of others stones n.e.c.	1
2902	2902	Extracção de minerais para a indústria e para a fabricação de adubos	Mining of chemical and fertiliser minerals	1
29021	29021	Extracção de pirites	Mining of pyrites	1
