code,code_np,level,des_pt,des_en,class
0,0,1,"Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1980
0-1,01,2,Especialistas das ciências físico-químicas e técnicos similares,,1980
0-11,011,3,Químicos,,1980
0-11.10,01110,4,Químico,,1980
0-11.20,01120,4,Químico - especialista em química orgânica,,1980
0-11.30,01130,4,Químico - especialista em química inorgânica,,1980
0-11.40,01140,4,Químico - especialista em química-física,,1980
0-11.50,01150,4,Químico - especialista em química-analítica,,1980
0-11.90,01190,4,Outros químicos,,1980
0-12,012,3,Físicos,,1980
0-12.05,01205,4,Físico,,1980
0-12.10,01210,4,Físico - especialista em mecânica,,1980
0-12.15,01215,4,Físico - especialista em termodinâmica,,1980
0-12.20,01220,4,Físico - especialista em óptica,,1980
0-12.25,01225,4,Físico - especialista em acústica,,1980
0-12.30,01230,4,Físico - especialista em electricidade e magnetismo,,1980
0-12.35,01235,4,Físico - especialista em electrónica,,1980
0-12.40,01240,4,Físico - especialista em energia nuclear,,1980
0-12.45,01245,4,Físico - especialista do estado sólido,,1980
0-12.50,01250,4,Físico - especialista em física atómica e molecular,,1980
0-12.90,01290,4,Outros físicos,,1980
0-13,013,3,Especialistas das ciências físico-químicas não classificados em outra parte,,1980
0-13.05,01305,4,Geofísico,,1980
0-13.10,01310,4,Geólogo,,1980
0-13.15,01315,4,Oceanógrafo,,1980
0-13.20,01320,4,Oceanógrafo físico,,1980
0-13.25,01325,4,Oceanógrafo químico,,1980
0-13.30,01330,4,Oceanógrafo geológico,,1980
0-13.35,01335,4,Oceanógrafo biológico,,1980
0-13.40,01340,4,Meteorologista,,1980
0-13.45,01345,4,Astrónomo,,1980
0-13.90,01390,4,Outros especialistas das ciências físico-químicas não classificados em outra parte,,1980
0-14,014,3,Técnicos das ciências físico-químicas e trabalhadores similares,,1980
0-14.10,01410,4,Analista de laboratório,,1980
0-14.20,01420,4,Observador geofísico,,1980
0-14.30,01430,4,Observador meteorológico,,1980
0-14.40,01440,4,Técnico físico,,1980
0-14.90,01490,4,Outros técnicos das ciências físico-químicas e trabalhadores similares,,1980
0-2,02,2,"Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,1980
0-21,021,3,Arquitectos e urbanistas,,1980
0-21.10,02110,4,Arquitecto,,1980
0-21.20,02120,4,Urbanista,,1980
0-21.30,02130,4,Arquitecto paisagista,,1980
0-22,022,3,Engenheiros civis,,1980
0-22.05,02205,4,Engenheiro civil,,1980
0-22.10,02210,4,Engenheiro civil - construção de edifícios,,1980
0-22.15,02215,4,Engenheiro civil - construção de estradas,,1980
0-22.20,02220,4,Engenheiro civil - construção de aeródromos,,1980
0-22.25,02225,4,Engenheiro civil - construção de vias férreas,,1980
0-22.30,02230,4,Engenheiro civil - construção de pontes,,1980
0-22.35,02235,4,Engenheiro civil - instalações de higiene e salubridade,,1980
0-22.40,02240,4,Engenheiro civil - hidráulico,,1980
0-22.45,02245,4,Engenheiro civil - mecânica dos solos,,1980
0-22.50,02250,4,Engenheiro técnico - construção civil,,1980
0-22.90,02290,4,Outros engenheiros civis,,1980
0-23,023,3,Engenheiros electrotécnicos,,1980
0-23.10,02310,4,Engenheiro electrotécnico,,1980
0-23.20,02320,4,Engenheiro electrotécnico - correntes fortes,,1980
0-23.30,02330,4,Engenheiro electrotécnico - correntes fracas,,1980
0-23.40,02340,4,Engenheiro de telecomunicações,,1980
0-23.50,02350,4,Engenheiro técnico - electromecânica,,1980
0-23.90,02390,4,Outros engenheiros electrotécnicos,,1980
0-24,024,3,Engenheiros mecânicos,,1980
0-24.10,02410,4,Engenheiro mecânico,,1980
0-24.20,02420,4,Engenheiro mecânico - concepção,,1980
0-24.30,02430,4,Engenheiro mecânico - fabricação,,1980
0-24.40,02440,4,Engenheiro mecânico - montagem e manutenção,,1980
0-24.50,02450,4,Engenheiro técnico mecânico,,1980
0-24.90,02490,4,Outros engenheiros mecânicos,,1980
0-25,025,3,Engenheiros químicos,,1980
0-25.10,02510,4,Engenheiro químico-industrial,,1980
0-25.20,02520,4,Engenheiro químico-industrial - investigação,,1980
0-25.30,02530,4,Engenheiro químico-industrial - fabrico,,1980
0-25.40,02540,4,Engenheiro técnico-químico,,1980
0-25.90,02590,4,Outros engenheiros químicos,,1980
0-26,026,3,Engenheiros metalúrgicos,,1980
0-26.10,02610,4,Engenheiro metalúrgico - produção e afinação de metais,,1980
0-26.20,02620,4,Engenheiro metalúrgico - tratamento dos metais,,1980
0-26.90,02690,4,Outros engenheiros metalúrgicos,,1980
0-27,027,3,Engenheiros de minas,,1980
0-27.10,02710,4,Engenheiro de minas,,1980
0-27.20,02720,4,Engenheiro de minas - minérios não metálicos,,1980
0-27.30,02730,4,Engenheiro de minas - minérios metálicos,,1980
0-27.40,02740,4,Engenheiro de minas - extracção de petróleo e gás natural,,1980
0-27.90,02790,4,Outros engenheiros de minas,,1980
0-29,029,3,Engenheiros não classificados em outra parte,,1980
0-29.10,02910,4,Engenheiro têxtil,,1980
0-29.20,02920,4,Engenheiro - especialista em cerâmica e vidraria,,1980
0-29.30,02930,4,Engenheiro - especialista no fabrico de géneros alimentares e bebidas,,1980
0-29.40,02940,4,Engenheiro de tráfego,,1980
0-29.50,02950,4,Engenheiro de segurança industrial,,1980
0-29.60,02960,4,Engenheiro naval,,1980
0-29.90,02990,4,Outros engenheiros não classificados em outra parte,,1980
0-3,03,2,"Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-2)",,1980
0-31,031,3,Engenheiros geógrafos e hidrógrafos,,1980
0-31.10,03110,4,Engenheiro geógrafo,,1980
0-31.20,03120,4,Engenheiro hidrógrafo,,1980
0-31.90,03190,4,Outros engenheiros geógrafos e hidrógrafos,,1980
0-32,032,3,Desenhadores,,1980
0-32.01,03201,4,"Desenhador, em geral",,1980
0-32.05,03205,4,Desenhador da construção civil,,1980
0-32.10,03210,4,Desenhador de arquitectura,,1980
0-32.15,03215,4,Desenhador electrónico,,1980
0-32.20,03220,4,Desenhador de máquinas,,1980
0-32.25,03225,4,Desenhador cartógrafo,,1980
0-32.30,03230,4,Cartógrafo,,1980
0-32.35,03235,4,Desenhador de topografia,,1980
0-32.40,03240,4,Medidor-orçamentista,,1980
0-32.45,03245,4,Desenhador-maquetista - artes gráficas,,1980
0-32.50,03250,4,Desenhador de artes gráficas - execução,,1980
0-32.90,03290,4,Outros desenhadores,,1980
0-33,033,3,Técnicos de topografia e trabalhadores similares,,1980
0-33.10,03310,4,Técnico hidrográfico,,1980
0-33.20,03320,4,Técnico de oceanografia,,1980
0-33.30,03330,4,Topógrafo,,1980
0-33.40,03340,4,Hidrometrista,,1980
0-33.50,03350,4,Topógrafo de minas,,1980
0-33.60,03360,4,Operador fotogramétrico,,1980
0-33.70,03370,4,Registador-medidor,,1980
0-33.80,03380,4,Construtor civil,,1980
0-33.90,03390,4,Outros técnicos de topografia e trabalhadores similares,,1980
0-39,039,3,Técnicos da indústria não classificados em outra parte,,1980
0-39.01,03901,4,"Especialista de organização, em geral",,1980
0-39.10,03910,4,Especialista de métodos,,1980
0-39.20,03920,4,Especialista de estudo de tempos e de movimentos,,1980
0-39.30,03930,4,Preparador de trabalho,,1980
0-39.40,03940,4,Agente de segurança industrial,,1980
0-39.50,03950,4,Técnico de cortumes,,1980
0-39.90,03990,4,Outros técnicos da indústria não classificados em outra parte,,1980
0-4,04,2,"Pilotos, oficiais de convés, oficiais de máquinas - marinha e aviação",,1980
0-41,041,3,"Pilotos de aviões, navegadores e mecânicos de vôo",,1980
0-41.10,04110,4,Piloto de avião,,1980
0-41.20,04120,4,Piloto de avião - excepto de transportes aéreos,,1980
0-41.30,04130,4,Navegador aéreo,,1980
0-41.40,04140,4,Técnico de informação aeronáutica,,1980
0-41.50,04150,4,Mecânico de voo,,1980
0-41.60,04160,4,Instrutor de voo,,1980
0-41.70,04170,4,Operador de sistemas de avião,,1980
0-41.90,04190,4,"Outros pilotos de avião, navegadores e mecânicos de voo",,1980
0-42,042,3,Oficiais de convés e pilotos - navegação marítima e fluvial,,1980
0-42.05,04205,4,Comandante de navio,,1980
0-42.10,04210,4,Imediato,,1980
0-42.15,04215,4,Oficial de convés - navegação marítima,,1980
0-42.20,04220,4,Piloto da barra,,1980
0-42.25,04225,4,Superintendente de frota,,1980
0-42.30,04230,4,Superintendente de métodos,,1980
0-42.35,04235,4,Superintendente de operações técnicas,,1980
