code,code_np,level,des_pt,des_en,class,level1,despt1,desen1,level2,despt2,desen2,level3,despt3,desen3,level4,despt4,desen4,level5,despt5,desen5
0,0,1,"Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,,,,,,,,,,,,
0-1,01,2,Especialistas das ciências físico-químicas e técnicos similares,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,,,,,,,,,
0-11,011,3,Químicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,,,,,,
0-11.10,01110,4,Químico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1110,01110 Químico,,,,
0-11.20,01120,4,Químico - especialista em química orgânica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1120,01120 Químico - especialista em química orgânica,,,,
0-11.30,01130,4,Químico - especialista em química inorgânica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1130,01130 Químico - especialista em química inorgânica,,,,
0-11.40,01140,4,Químico - especialista em química-física,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1140,01140 Químico - especialista em química-física,,,,
0-11.50,01150,4,Químico - especialista em química-analítica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1150,01150 Químico - especialista em química-analítica,,,,
0-11.90,01190,4,Outros químicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,11,011 Químicos,,1190,01190 Outros químicos,,,,
0-12,012,3,Físicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,,,,,,
